id,train1,test1,train2,test2,test1_object1,test1_object1_confidence,test1_object2,test1_object2_confidence,test1_memCheck1,test1_memCheck1_confidence,test1_memCheck2,test1_memCheck2_confidence,test1_memCheck_base,test1_memCheck_base_confidence,test1_memCheck_feature,test1_memCheck_feature_confidence,distractor_output,test2_object1,test2_object1_confidence,test2_object2,test2_object2_confidence,test2_memCheck1,test2_memCheck1_confidence,test2_memCheck2,test2_memCheck2_confidence,test2_memCheck3,test2_memCheck3_confidence,test2_memCheck4,test2_memCheck4_confidence,test2_memCheck_base,test2_memCheck_base_confidence,test2_memCheck_feature,test2_memCheck_feature_confidence,open-ended definition
30,B2,YC,2Bb,GL,yes,45,no,60,1,95,2,95,2,95,2,70,"ORDER: 3,3,4,2,4,2,3,4,2

Q,Q,1,0;K,K,1,0;S,S,1,0;
T,T,1,1;J,J,1,1;R,R,1,1;
J,T,0,0;L,J,0,1;T,L,0,0;
K,K,1,1;L,L,1,1;R,R,1,1;
T,T,1,1;R,R,1,1;J,J,1,1;K,K,1,1;
Q,Q,1,1;S,S,1,1;
P,P,1,1;J,J,1,1;Q,Q,1,1;R,R,1,1;
S,S,1,1;K,K,1,1;
P,P,1,1;Q,Q,1,1;Y,Y,1,1;
L,L,1,1;N,N,1,1;F,F,1,1;Q,Q,1,1;
P,P,1,1;H,H,1,0;

RESULTS: n=27, acc=89%, PU=0.89, PL=0.89, FU=0.89, FL=0.89
ORDER: 3,3,4,2,4,2,3,4,2

Q,Q,1,0;K,K,1,0;S,S,1,0;
T,T,1,1;J,J,1,1;R,R,1,1;
J,T,0,0;L,J,0,1;T,L,0,0;
K,K,1,1;L,L,1,1;R,R,1,1;
T,T,1,1;R,R,1,1;J,J,1,1;K,K,1,1;
Q,Q,1,1;S,S,1,1;
P,P,1,1;J,J,1,1;Q,Q,1,1;R,R,1,1;
S,S,1,1;K,K,1,1;
P,P,1,1;Q,Q,1,1;Y,Y,1,1;
L,L,1,1;N,N,1,1;F,F,1,1;Q,Q,1,1;
P,P,1,1;H,H,1,0;

RESULTS: n=27, acc=89%, PU=0.89, PL=0.89, FU=0.89, FL=0.89",no ,60,yes,60,1,95,4,95,2,80,3,95,2,95,1,90,"""an object is  a blicket if it has shown to be associated  an object that we've previously seen activates the blicket detector"""
31,C2,YC,2Bc,GL,yes,60,yes,60,1,90,2,90,2,100,1,100,"ORDER: 3,4,3,2,2,4,4,3,2

R,R,1,0;J,J,1,0;F,F,1,0;
Y,Y,1,1;J,F,0,1;J,J,1,1;
Y,Y,1,1;N,N,1,1;K,K,1,1;
S,S,1,1;F,F,1,1;J,J,1,1;S,Y,0,1;
S,S,1,1;Y,Y,1,1;N,N,1,1;
Y,Y,1,1;Y,Y,1,1;
N,N,1,1;R,R,1,1;
Y,Y,1,1;R,R,1,1;Y,Y,1,1;Q,Q,1,1;
P,P,1,1;Q,Q,1,0;Y,Y,1,1;R,R,1,1;
L,L,1,1;N,N,1,0;K,K,1,1;
L,L,1,1;R,R,1,1;

RESULTS: n=27, acc=93%, PU=0.97, PL=0.96, FU=0.89, FL=0.85
",no,90,no,90,1,100,4,90,2,90,3,100,2,90,1,90,"""object that matches the previous shape"""
32,D2,YC,2Bd,GL,yes,60,no,60,2,90,1,80,1,90,1,90,"ORDER: 4,4,3,2,2,4,3,3,2

T,T,1,0;F,F,1,0;Q,Q,1,0;
K,K,1,1;T,T,1,1;P,P,1,1;
F,F,1,1;R,R,1,0;Y,Y,1,1;T,T,1,1;
K,K,1,1;P,P,1,1;F,F,1,1;Q,Q,1,1;
L,L,1,1;Q,Q,1,1;Q,Q,1,1;
N,K,0,1;S,S,1,1;
Y,Y,1,0;K,K,1,1;
F,F,1,1;J,K,0,1;K, ,0,1;J, ,0,1;
Y,Y,1,1;F,F,1,1;T,T,1,1;
T,T,1,1;S,S,1,1;J,J,1,1;
K,T,0,1;K,K,1,1;

RESULTS: n=27, acc=93%, PU=0.81, PL=0.81, FU=0.67, FL=0.70",no,80,yes,70,4,90,3,100,1,90,2,90,2,100,1,90,"""a blicket was a specific combination between an outer and inner object that gave a response when going through the detector"""
33,1Aa,PT,1A,PD,no,75,no,99,2,100,1,100,1,100,1,75,"ORDER: 3,3,2,4,3,4,2,4,2

H,H,1,0;R,R,1,0;Q,Q,1,0;
R,R,1,1;T,T,1,1;H,H,1,1;
F,F,1,1;Q,Q,1,1;Q,Q,1,0;
K,K,1,0;H,H,1,1;F,F,1,1;
L,L,1,1;T,T,1,1;
H,H,1,1;F,F,1,1;K,K,1,1;J,J,1,1;
P,P,1,1;N,N,1,1;Y,Y,1,1;
F,F,1,1;S,S,1,1;P,P,1,1;L,L,1,1;
L,L,1,1;P,P,1,1;
K,K,1,1;T,T,1,1;H,H,1,1;H,H,1,1;
K,K,1,1;F,F,1,0;

RESULTS: n=27, acc=89%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",yes,90,yes,50,1,100,2,100,3,100,4,100,1,100,1,80,"""the inner shape must have either an even # of sides or only right angles"""
34,1Ab,PT,1B,PD,yes,30,yes,10,1,100,2,100,1,100,1,20,"ORDER: 4,3,4,2,2,3,3,4,2

F,F,1,0;T,T,1,0;N,N,1,0;
N,N,1,1;P,P,1,0;T,T,1,1;
S,S,1,1;L,L,1,1;K,K,1,0;L,L,1,1;
L,L,1,1;J,J,1,1;Y,Y,1,1;
K,K,1,1;N,L,0,1;L,N,0,1;J,J,1,0;
N,N,1,1;T,T,1,0;
P,P,1,1;F,F,1,1;
R,R,1,1;P,P,1,1;R,R,1,1;
T,T,1,1;J,J,1,1;K,K,1,0;
Y,Y,1,1;F,F,1,1;Y,Y,1,1;N,N,1,1;
P,P,1,1;J,J,1,0;

RESULTS: n=27, acc=81%, PU=0.94, PL=0.93, FU=0.89, FL=0.85",no,30,no,30,4,25,3,25,2,25,3,25,1,100,2,25,"""When the object has corners but can flatly touch the surface"""
35,1Ac,PT,1C,PD,no,60,yes,40,1,95,2,95,1,90,2,70,"ORDER: 2,3,3,4,2,2,4,4,3

Y,Y,1,0;F,F,1,0;P,P,1,0;
N,N,1,1;S,S,1,0;S,S,1,1;
S,S,1,1;N,N,1,0;
R,R,1,1;K,K,1,1;R,R,1,1;
Q,Q,1,1;Y,Y,1,1;J,J,1,1;
F,F,1,1;S,S,1,1;Q,Q,1,1;P,P,1,1;
L,L,1,1;P,P,1,1;
Y,Y,1,0;K,K,1,1;
R,R,1,1;Y,Y,1,1;N,N,1,1;Y,Y,1,1;
J,J,1,1;L,L,1,1;K,K,1,1;S,S,1,1;
T,T,1,1;R,R,1,1;R,R,1,1;

RESULTS: n=27, acc=93%, PU=1.00, PL=1.00, FU=1.00, FL=1.00
",no,55,no,25,3,90,1,95,4,90,2,90,1,90,1,80,n/a
36,1Ad,PT,1D,PD,no,100,yes,50,1,100,1,100,1,100,2,100,"ORDER: 7,7,2,4,3,2,5,3,4,6,7,3,4,2,6,6,5,5

ORDER: 3,2,2,4,3,2,4,3,4

R,R,1,0;J,J,1,0;H,H,1,0;
S,H,0,0;R,R,1,1;S,S,1,0;
N,N,1,1;S,S,1,0;F,F,1,0;
K,K,1,1;T,S,0,1;
H,S,0,0;J,J,1,1;
Y,Y,1,1;R,R,1,0;P,P,1,1;P,S,0,1;
L,L,1,1;Y,Y,1,0;L,L,1,1;
P,Y,0,1;J,J,1,0;
K,Y,0,0;K,N,0,1;P,P,1,1;L,L,1,1;
R,R,1,1;Q,Q,1,1;T,T,1,1;
S,R,0,1;H,S,0,1;N,N,1,0;T,T,1,1;

RESULTS: n=27, acc=70%, PU=0.69, PL=0.70, FU=0.33, FL=0.33",yes,80,no,50,4,100,3,100,2,100,1,100,1,100,1,100,"""if they correspond with the first object that activates the blicket detector"""
37,1Ba,PT,1A,YC,no,90,yes,60,2,100,1,100,1,100,1,100,"ORDER: 4,3,3,4,4,2,2,3,2

P,P,1,0;K,K,1,0;T,T,1,0;
T,T,1,1;F,F,1,1;T,T,1,1;
R,K,0,0;S,T,0,1;K,K,1,1;K, ,0,1;
R,R,1,1;Q,Q,1,1;R,R,1,1;
J,J,1,1;L,L,1,1;K,K,1,1;
N,N,1,1;J,J,1,1;S,S,1,1;H,H,1,1;
S,S,1,1;F, ,0,1;R,R,1,0;N,N,1,1;
L,S,0,1;R,R,1,1;
R,R,1,1;Y,Y,1,1;
N,N,1,1;Y,Y,1,1;F,F,1,1;
F,F,1,1;N,N,1,1;

RESULTS: n=27, acc=93%, PU=0.83, PL=0.81, FU=0.67, FL=0.63",no,80,yes,60,2,100,1,100,3,100,4,100,1,100,2,100,"""if the object activates something"""
38,1Bb,PT,1B,YC,no,80,no,60,1,99,2,99,1,99,1,80,"ORDER: 3,3,3,4,2,2,4,2,4

ORDER: 2,3,3,4,4,2,3,2,4

K,K,1,0;H,H,1,0;Y,Y,1,0;
T,T,1,1;P,P,1,1;Y,Y,1,1;
S,S,1,1;F,F,1,1;
H,H,1,1;Q,Q,1,1;H,T,0,1;
J,J,1,1;Q,Q,1,1;L,L,1,1;
S,S,1,1;F,F,1,1;Q, ,0,1;L,L,1,1;
P,P,1,1;K,K,1,1;F,F,1,1;Y,Y,1,1;
R,R,1,1;F,F,1,1;
R,R,1,1;Y,Y,1,1;S,S,1,1;
T,T,1,1;K,K,1,1;
S,S,1,1;H,H,1,1;Y,Y,1,1;J,J,1,1;

RESULTS: n=27, acc=100%, PU=0.94, PL=0.93, FU=0.78, FL=0.74",no,99,no,70,1,99,4,60,1,80,3,80,1,99.9,2,80,"""A red square, potentially others, not a green rounded rectangle"" "
39,1Bc,PT,1C,YC,yes,60,no,50,1,100,2,100,1,100,2,70,"ORDER: 3,4,2,2,2,4,3,4,3

Y,Y,1,0;N,N,1,0;F,F,1,0;
K,K,1,1;J,J,1,1;N,N,1,1;
H,H,1,1;L,L,1,1;Q,Q,1,1;
K, ,0,1;Q,Q,1,0;L,L,1,1;Y,Y,1,1;
T,T,1,1;S,S,1,1;
H,H,1,1;K,K,1,1;
Q,Q,1,1;P,P,1,1;
P,P,1,1;R,R,1,1;R,R,1,1;Y,Y,1,1;
J,J,1,1;R,R,1,1;P,P,1,1;
K, ,0,1;K,K,1,1;Q,Q,1,1;F,F,1,1;
H,H,1,1;N,N,1,1;L,L,1,1;

RESULTS: n=27, acc=96%, PU=0.94, PL=0.93, FU=0.78, FL=0.70
",yes,50,no,50,3,75,2,75,4,75,1,80,1,100,2,50,"""When you have enough belief in the object you can manifest an activation of the blicket detector. Once a blicket, it will remain a blicket. (I'm not really sure about what makes an object a blicket)."""
40,1Bd,PT,1D,YC,no,100,no,100,2,100,1,100,1,100,2,30,"ORDER: 3,4,4,4,2,3,2,2,3

Y,Y,1,0;L,L,1,0;F,F,1,0;
Q,Q,1,1;T,T,1,1;S,S,1,1;
N,N,1,1;S,S,1,1;L,L,1,1;
P,P,1,1;R,R,1,1;P,P,1,1;Y,Y,1,1;
F,F,1,1;Y,Y,1,1;Q,Q,1,1;Y,Y,1,1;
K,K,1,1;R,R,1,1;H,H,1,1;F,F,1,1;
L,L,1,1;H,H,1,1;
P,P,1,1;J,J,1,1;F,F,1,1;
R,R,1,1;R,R,1,1;
H,H,1,1;K,K,1,1;
R,R,1,1;R,R,1,1;K,K,1,1;

RESULTS: n=27, acc=100%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,100,no,60,4,90,3,90,1,90,2,90,2,100,2,15,"""something that is totally made up, but only responds to one specific stimulus/shape"""
41,1Aa,GL,2A,PD,no,65,no,65,2,90,1,75,2,90,2,0,"ORDER: 2,4,3,4,2,4,3,2,3

T,T,1,0;Q,Q,1,0;L,L,1,0;
T,T,1,1;K,K,1,1;H,H,1,1;
J,J,1,1;S,S,1,1;
S,S,1,1;H,H,1,1;N,N,1,1;N,N,1,1;
J,J,1,1;N,N,1,1;L,L,1,1;
L,L,1,1;R,R,1,1;P,P,1,1;H,H,1,0;
F,F,1,1;R,R,1,1;
H,H,1,1;K,K,1,1;L,L,1,1;R,R,1,1;
S,S,1,1;R,R,1,1;S,S,1,1;
H,H,1,1;J,J,1,1;
H,H,1,1;L,L,1,1;J,J,1,1;

RESULTS: n=27, acc=96%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,40,no,40,1,30,2,75,3,75,4,15,1,70,1,20,"""colder, lighter color, as opposed to warm, darker colors"""
42,1Ab,GL,2B,PD,no,80,yes,80,1,99,2,99,2,99,2,90,"ORDER: 3,3,2,2,4,3,4,4,2

S,S,1,0;Q,Q,1,0;P,P,1,0;
L,P,0,1;L,L,1,1;R,R,1,1;
K,K,1,1;K,K,1,1;L,L,1,1;
T,T,1,1;H,H,1,1;H,H,1,1;
P,P,1,0;Y,Y,1,1;
K,K,1,1;K,K,1,1;
K,K,1,0;R,R,1,0;L,L,1,1;S,S,1,1;
S,R,0,1;L,L,1,0;P,P,1,1;
H,H,1,1;Q,Q,1,1;P,P,1,1;J,J,1,1;
T,T,1,1;L,L,1,1;N,N,1,1;Y,Y,1,1;
L,L,1,1;N,N,1,1;

RESULTS: n=27, acc=85%, PU=0.96, PL=0.96, FU=0.89, FL=0.89
",no,80,yes,80,2,99,4,99,1,99,3,99,1,99,1,80,"""if it is detected by the detector, or if the object is associated with another object that is a blicket"""
43,1Ac,GL,2C,PD,yes,80,no,80,2,100,2,100,2,100,1,100,"ORDER: 3,2,2,4,3,4,3,2,4

R,R,1,0;N,N,1,0;J,J,1,0;
Y,Y,1,1;F,R,0,0;P,P,1,1;
Y,Y,1,1;F,F,1,1;S,S,1,1;
R,R,1,1;T,T,1,1;
K,K,1,1;J,J,1,1;
H,H,1,1;N,N,1,1;L,L,1,1;J,J,1,1;
J,J,1,1;F,F,1,1;L,L,1,1;
S,S,1,1;S,S,1,1;Y,Y,1,1;S,S,1,1;
P,P,1,1;S,S,1,1;T,T,1,1;
H,H,1,1;J,J,1,1;
N,H,0,1;H,N,0,1;F,L,0,1;Y,J,0,1;

RESULTS: n=27, acc=100%, PU=0.89, PL=0.85, FU=0.89, FL=0.85",no,65,yes,60,3,100,1,100,4,100,2,100,1,100,1,100,"""an object is a blicket if it activates the rectange at the bottom of the screen by making it blink colors"""
44,1Ad,GL,2D,PD,no,50,no,90,2,100,1,100,2,100,1,100,"ORDER: 3,4,3,2,4,2,2,4,3

N,N,1,0;P,P,1,0;L,L,1,0;
S,S,1,0;H,H,1,1;Q,Q,1,1;
F, ,0,0;N,N,1,1;H,H,1,1;
S,S,1,1;R,H,0,0;Y,Y,1,1;P,P,1,1;
F,F,1,1;R,R,1,1;T,T,1,1;
F,F,1,1;S,S,1,1;
R,F,0,1;P,P,1,1;H,H,1,1;N,N,1,1;
T,T,1,1;P,P,1,0;
K,K,1,1;L,L,1,1;
N,N,1,1;T,T,1,1;P,P,1,1;Q,Q,1,1;
N,N,1,1;R,P,0,1;K,K,1,1;

RESULTS: n=27, acc=89%, PU=0.87, PL=0.85, FU=0.56, FL=0.48",no,50,yes,60,4,70,3,80,1,80,1,80,1,99,1,70,"""I think maybe rounder shapes would make an object more likely to be a blicket? But I'm not sure if the blicket detector interacts with the shape within the shape since the animation shown only had pure shapes without inner shapes."""
45,1Ba,GL,2A,YC,yes,60,no,80,2,100,1,100,2,100,2,85,"ORDER: 3,2,3,4,2,3,2,4,4

Y,Y,1,0;R,R,1,0;Y,Y,1,0;
T,T,1,1;P,P,1,1;F,F,1,0;
T,T,1,1;J,J,1,1;L,L,1,1;
J,J,1,1;P,P,1,1;
H,H,1,0;L,L,1,1;Y,Y,1,1;
J,J,1,0;T,T,1,0;S,S,1,1;S,S,1,1;
S,S,1,1;T,T,1,1;
L,L,1,1;H,H,1,1;H,H,1,1;
Y,Y,1,1;R,R,1,1;
L,L,1,1;L,L,1,1;F,F,1,1;F,F,1,1;
H,H,1,1;H,H,1,1;L,L,1,1;S,S,1,1;

RESULTS: n=27, acc=89%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,60,no,70,1,65,1,80,3,80,4,95,1,100,1,75,"""A blicket seems to be a shape that is similar to but not actually a square (e.g. has rounded or inverted corners)"""
46,1Bb,GL,2B,YC,yes,50,no,50,1,80,2,80,2,80,2,80,"ORDER: 3,2,4,4,2,2,3,4,3

R,R,1,0;H,H,1,0;F,F,1,0;
Q,R,0,1;K,K,1,1;F,F,1,1;
T,P,0,1;R,R,1,1;T,T,1,1;
H,N,0,1;N,N,1,1;
J,R,0,0;P,J,0,1;L,H,0,1;T,T,1,1;
S,R,0,1;Y,H,0,1;F,J,0,1;F,F,1,0;
F,F,1,1;J,J,1,0;
F,F,1,1;S,S,1,1;
H,F,0,1;J,J,1,1;P,P,1,1;
S,F,0,0;Y,T,0,1;P,Y,0,1;T,P,0,0;
K,K,1,1;Y,Y,1,1;L,L,1,1;

RESULTS: n=27, acc=81%, PU=0.59, PL=0.52, FU=0.33, FL=0.26
",yes,10,no,20,2,10,4,10,3,10,1,10,1,70,1,10,"""If an object makes contact w/ the black rectangle and the PC makes a loud noise"""
47,1Bc,GL,2C,YC,no,95,no,80,1,100,2,100,2,100,1,95,"ORDER: 3,3,2,2,4,3,4,2,4

ORDER: 3,3,3,4,2,4,4,2,2

K,K,1,0;J,J,1,0;T,T,1,0;
R,R,1,1;R,R,1,1;K,K,1,1;
Y,Y,1,1;F,F,1,1;F,F,1,1;
N,F,0,1;J,J,1,1;P,P,1,0;
R,R,1,1;H,H,1,1;Q,Q,1,1;
N,N,1,1;K,K,1,1;Q,Q,1,0;Y,Y,1,1;
J,J,1,1;H,H,1,1;
T,T,1,1;Q,Q,1,1;P,P,1,1;H,H,1,1;
P,P,1,1;J,J,1,1;Q,Q,1,1;R,R,1,1;
L,L,1,0;R,R,1,1;
H,H,1,0;H,H,1,1;

RESULTS: n=27, acc=85%, PU=0.96, PL=0.96, FU=0.89, FL=0.89",no,30,no,90,3,90,2,60,4,90,1,100,1,100,2,80,"""the object that has outer shape that can activate the detector. That being said, whether there is an inner element, if the outer structure satisfy then the detector should be turned on."" "
48,1Bd,GL,2D,YC,no,100,no,50,2,100,1,100,2,100,1,100,"ORDER: 3,3,4,4,2,3,2,2,4

T,T,1,0;Y,Y,1,0;F,F,1,0;
L,L,1,0;Q,Q,1,1;Y,Y,1,1;
K,K,1,1;L,L,1,1;L,L,1,1;
R,K,0,1;J,J,1,0;S,S,1,0;
P,P,1,1;N,N,1,1;N,N,1,0;K,K,1,1;
T,K,0,1;Y,Y,1,0;K,K,1,0;P,P,1,0;
J,K,0,0;H,H,1,1;
R,R,1,0;Y,Y,1,0;J,J,1,0;
L,K,0,0;F,F,1,1;
Q,Q,1,1;N,N,1,1;
H,H,1,1;P,Q,0,1;R,R,1,1;F,F,1,0;

RESULTS: n=27, acc=56%, PU=0.80, PL=0.81, FU=0.44, FL=0.44",yes,85,no,100,4,100,3,100,1,100,2,100,1,100,2,100,"""The first inference I had was the inside shape, as in a specific inner shape made the blicker 'blick'. The second one now is that a characteristic of the outside does. For instance, whether the shape has rounded edges or not."""
49,2Aa,PT,A1,PD,yes,99,no,99,2,100,1,100,1,100,1,100,"ORDER: 4,4,3,3,2,4,3,2,2

F,F,1,0;K,K,1,0;N,N,1,0;
F,F,1,1;H,H,1,0;S,S,1,1;
T,H,0,1;N,N,1,1;L,L,1,1;N,F,0,1;
P,P,1,1;K,K,1,0;P,P,1,1;L,L,1,1;
H,H,1,1;R,R,1,1;N,N,1,1;
N,N,1,1;P,P,1,1;J,J,1,1;
R,R,1,1;H,H,1,1;
R,R,1,1;N,N,1,1;P,P,1,1;L,L,1,1;
S,S,1,1;J,J,1,1;R,R,1,1;
J,J,1,0;J,J,1,1;
H,H,1,1;Y,Y,1,1;

RESULTS: n=27, acc=93%, PU=0.94, PL=0.93, FU=0.89, FL=0.85",no,70,yes,70,1,65,2,90,3,95,4,95,2,80,2,85,"""If an object is part of a system of objects that make the blicket detector sound"""
50,2Ab,PT,B1,PD,yes,50,no,50,1,90,2,90,1,95,1,80,"ORDER: 3,4,2,3,3,2,4,4,2

J,J,1,0;Y,Y,1,0;S,S,1,0;
Q,Q,1,0;P,P,1,1;T,T,1,1;
J,J,1,1;S,S,1,1;T,T,1,1;
T,T,1,1;P,P,1,1;J,J,1,1;N,N,1,1;
N,N,1,1;L,L,1,1;
F,F,1,1;K,K,1,1;J,J,1,1;
L,L,1,1;N,N,1,1;J,J,1,1;
Q,Q,1,1;P,P,1,1;
R,R,1,1;K,K,1,1;K,K,1,1;S,S,1,1;
R,R,1,1;J,J,1,1;N,N,1,1;H,H,1,1;
N,N,1,1;F,F,1,1;

RESULTS: n=27, acc=100%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,90,yes,50,2,80,4,80,1,80,3,80,2,95,2,80,"""regularly shaped polygons (i.e. the pentagon, the square). Not irregular polygons (the cross, the curved rectangle)."""
51,2Ac,PT,C1,PD,yes,40,yes,50,1,100,2,100,1,100,1,40,"ORDER: 3,2,4,3,4,2,4,2,3

Q,Q,1,0;L,L,1,0;H,H,1,0;
N,N,1,1;S,S,1,0;Y,Y,1,1;
N,N,1,1;T,T,1,1;P,P,1,1;
H,H,1,1;F,F,1,1;
N,N,1,1;Q,H,0,0;N,Q,0,1;N,N,1,0;
J,J,1,1;N,N,1,1;K,K,1,1;
S,J,0,1;H,H,1,1;L,L,1,1;K,K,1,1;
K,K,1,1;T,T,1,0;
T,T,1,0;S,S,1,1;J,J,1,1;Y,Y,1,1;
K,K,1,1;F,F,1,1;
Q,Q,1,1;F,F,1,1;S,S,1,1;

RESULTS: n=27, acc=85%, PU=0.92, PL=0.89, FU=0.78, FL=0.70",no,70,no,60,3,80,1,50,4,90,2,100,2,100,3,70,"""polygon, shape with defined sides and no curves, and not overly concave or convex"""
52,2Ad,PT,D1,PD,no,75,yes,30,2,100,1,100,1,100,2,50,"ORDER: 4,4,2,2,4,3,3,2,3

T,T,1,0;Y,Y,1,0;T,T,1,0;
R,R,1,1;H,H,1,1;K,K,1,1;
K,K,1,1;Y,Y,1,1;T,T,1,1;R,R,1,1;
Q,Q,1,1;Y,Y,1,1;H,H,1,1;F,F,1,1;
T,T,1,1;J,J,1,1;
Q,Q,1,1;N,N,1,1;
Y,Y,1,1;H,H,1,1;R,R,1,1;S,S,1,1;
R,R,1,1;J,J,1,1;R,R,1,1;
K,K,1,1;T,T,1,1;R,R,1,1;
F,F,1,1;Y,Y,1,1;
Q,Q,1,1;N,N,1,0;R,R,1,1;

RESULTS: n=27, acc=96%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,50,no,50,4,100,3,100,2,100,1,100,2,100,2,100,"""whether or not the outer shape sets off the detector, although maybe inner shapes that have those outer shapes could also be blickets"""
53,2Ba,PT,A1,YC,yes,90,yes,95,2,100,1,100,1,95,1,90,"ORDER: 4,2,4,3,2,4,3,3,2

Q,Q,1,0;R,R,1,0;N,N,1,0;
Q,Q,1,0;T,T,1,0;R,R,1,1;
F,Q,0,1;J,T,0,0;F,J,0,1;K,K,1,1;
L,L,1,1;H,H,1,1;
P,P,1,1;J,J,1,1;K,K,1,1;F,T,0,1;
Q,Q,1,1;Y,Y,1,1;L,L,1,1;
F,F,1,1;L,L,1,1;
N,L,0,1;S,F,0,1;F,S,0,1;S,S,1,1;
S,S,1,0;Y,Y,1,1;J,J,1,1;
S,S,1,1;N,N,1,1;F,F,1,1;
Q,Q,1,0;R,R,1,1;

RESULTS: n=27, acc=89%, PU=0.81, PL=0.74, FU=0.67, FL=0.56",no,70,no,60,2,95,1,100,3,100,4,100,2,95,4,80,"""At first I thought it was based on colour since the pentagon was blue and activation color was blue. But then the second time I thought it had to do with geometric shapes."""
54,2Bb,PT,B1,YC,no,85,no,85,1,100,2,100,1,80,1,80,"ORDER: 2,3,3,4,2,4,2,3,4

P,P,1,0;J,J,1,0;N,N,1,0;
K,K,1,1;Y,Y,1,1;H,H,1,1;
K,K,1,1;F,F,1,1;
F,F,1,1;R,R,1,1;Q,Q,1,0;
S,Q,0,1;S,S,1,1;H,H,1,0;
S,S,1,1;S,S,1,1;H,H,1,1;H,H,1,0;
R,R,1,1;R,R,1,1;
J,J,1,1;T,T,1,1;H,H,1,1;R,R,1,1;
H,H,1,1;F,F,1,1;
S,S,1,1;H,H,1,1;K,K,1,1;
L,L,1,1;L,L,1,1;K,K,1,1;Y,Y,1,1;

RESULTS: n=27, acc=89%, PU=0.96, PL=0.96, FU=0.89, FL=0.89",no,85,no,85,4,30,4,40,3,50,3,75,2,100,2,40,"""the one in the left, red. I remebered the green yellow, red-purple"" "
55,2Bc,PT,C1,YC,no,50,no,95,1,95,2,95,1,95,2,95,"ORDER: 4,4,2,2,3,3,4,2,3

J,J,1,0;H,H,1,0;Q,Q,1,0;
L,L,1,1;Q,Q,1,1;N,N,1,1;
P,P,1,1;L,L,1,1;F,F,1,0;N,N,1,1;
F,F,1,1;F,F,1,1;H,H,1,1;P,P,1,0;
S,S,1,1;P,P,1,1;
P,P,1,1;N,N,1,1;
N,N,1,1;Q,Q,1,1;J,J,1,1;
Q,Q,1,1;T,T,1,1;N,N,1,1;
P,P,1,1;N,N,1,1;Q,Q,1,1;L,L,1,1;
H,H,1,1;T,T,1,1;
H,H,1,1;T,T,1,1;P,P,1,0;

RESULTS: n=27, acc=89%, PU=1.00, PL=1.00, FU=1.00, FL=1.00",no,90,no,85,3,95,2,95,4,95,1,95,2,100,1,95,"""an object is a blicket if it makes the blicket detector flash/beep"""
56,2Bd,PT,D1,YC,yes,80,no,80,2,100,1,100,1,100,2,100,"ORDER: 2,4,4,2,3,4,3,2,3

N,N,1,0;F,F,1,0;T,T,1,0;
Y,Y,1,1;L,L,1,1;Y,Y,1,1;
J,J,1,1;L,L,1,1;
Q,Q,1,1;R,R,1,1;P,P,1,1;P,P,1,1;
Q,Q,1,1;H,H,1,0;P,P,1,1;J,J,1,1;
Y,Y,1,1;T,T,1,1;
H,H,1,1;H,H,1,1;P,P,1,1;
Q,Q,1,1;Y,Y,1,1;R,R,1,1;S,S,1,1;
Q,Q,1,1;J,J,1,1;K,K,1,1;
J,J,1,1;S,S,1,1;
Q,Q,1,1;Y,Y,1,1;N,N,1,1;

RESULTS: n=27, acc=96%, PU=1.00, PL=1.00, FU=1.00, FL=1.00
",no,75,yes,40,4,85,3,80,1,60,2,60,2,100,2,50,"""It is based on the bottom having a straight edge of the outer shape, but must then also correspond with the inner shape. Honestly, I think that does not hold up though, now that I have to write it down."""
57,2Aa,GL,A2,PD,yes,40,no,40,2,100,1,100,1,85,1,40,"ORDER: 4,4,2,3,2,3,2,3,4

F,F,1,0;R,R,1,0;H,H,1,0;
F,F,1,1;K,K,1,1;Y,Y,1,1;
J,F,0,1;F,J,0,1;F,K,0,1;T,T,1,1;
K,K,1,1;Q,Q,1,1;Y,Y,1,1;K,K,1,1;
Q,Q,1,1;T,T,1,1;
S,S,1,1;S,S,1,1;F,F,1,1;
P,P,1,1;R,R,1,1;
Q,Q,1,1;H,H,1,1;J,J,1,1;
Y,Y,1,1;S,S,1,1;
N,N,1,1;K,K,1,1;H,H,1,1;
Q,K,0,1;L,L,1,1;R,R,1,1;T,T,1,1;

RESULTS: n=27, acc=100%, PU=0.89, PL=0.85, FU=0.78, FL=0.70",no,40,no,40,1,100,2,100,3,100,4,100,2,85,2,5,"""Definitely if it was the object that made the black bar flash & sound in the first video, but not sure the ""inside"" shapes affect blickets now"""
